Year,Eggs
01-01-1980,0.879
02-01-1980,0.774
03-01-1980,0.812
04-01-1980,0.797
05-01-1980,0.737
06-01-1980,0.731
07-01-1980,0.776
08-01-1980,0.907
09-01-1980,0.898
10-01-1980,0.867
11-01-1980,0.917
12-01-1980,1.031
01-01-1981,0.943
02-01-1981,0.924
03-01-1981,0.875
04-01-1981,0.904
05-01-1981,0.836
06-01-1981,0.852
07-01-1981,0.860
08-01-1981,0.868
09-01-1981,0.915
10-01-1981,0.898
11-01-1981,0.943
12-01-1981,0.966
01-01-1982,0.925
02-01-1982,1.007
03-01-1982,0.952
04-01-1982,0.896
05-01-1982,0.842
06-01-1982,0.783
07-01-1982,0.851
08-01-1982,0.778
09-01-1982,0.852
10-01-1982,0.854
11-01-1982,0.849
12-01-1982,0.813
01-01-1983,0.821
02-01-1983,0.794
03-01-1983,0.836
04-01-1983,0.825
05-01-1983,0.865
06-01-1983,0.825
07-01-1983,0.847
08-01-1983,0.884
09-01-1983,0.938
10-01-1983,0.962
11-01-1983,0.996
12-01-1983,1.131
01-01-1984,1.301
02-01-1984,1.324
03-01-1984,1.153
04-01-1984,1.199
05-01-1984,1.054
06-01-1984,0.903
07-01-1984,0.876
08-01-1984,0.860
09-01-1984,0.854
10-01-1984,0.842
11-01-1984,0.823
12-01-1984,0.867
01-01-1985,0.746
02-01-1985,0.784
03-01-1985,0.790
04-01-1985,0.783
05-01-1985,0.745
06-01-1985,0.724
07-01-1985,0.787
08-01-1985,0.789
09-01-1985,0.857
10-01-1985,0.860
11-01-1985,0.872
12-01-1985,0.906
01-01-1986,0.901
02-01-1986,0.866
03-01-1986,0.887
04-01-1986,0.890
05-01-1986,0.820
06-01-1986,0.795
07-01-1986,0.833
08-01-1986,0.913
09-01-1986,0.868
10-01-1986,0.855
11-01-1986,0.897
12-01-1986,0.910
01-01-1987,0.862
02-01-1987,0.823
03-01-1987,0.800
04-01-1987,0.786
05-01-1987,0.763
06-01-1987,0.711
07-01-1987,0.763
08-01-1987,0.730
09-01-1987,0.837
10-01-1987,0.778
11-01-1987,0.805
12-01-1987,0.733
01-01-1988,0.760
02-01-1988,0.718
03-01-1988,0.740
04-01-1988,0.719
05-01-1988,0.678
06-01-1988,0.705
07-01-1988,0.803
08-01-1988,0.909
09-01-1988,0.874
10-01-1988,0.896
11-01-1988,0.839
12-01-1988,0.833
01-01-1989,0.941
02-01-1989,0.890
03-01-1989,1.031
04-01-1989,0.997
05-01-1989,0.956
06-01-1989,0.937
07-01-1989,0.961
08-01-1989,0.983
09-01-1989,1.038
10-01-1989,1.023
11-01-1989,1.080
12-01-1989,1.137
01-01-1990,1.223
02-01-1990,1.041
03-01-1990,1.111
04-01-1990,1.092
05-01-1990,0.940
06-01-1990,0.930
07-01-1990,0.899
08-01-1990,0.954
09-01-1990,0.946
10-01-1990,1.012
11-01-1990,1.018
12-01-1990,1.001
01-01-1991,1.106
02-01-1991,0.987
03-01-1991,1.069
04-01-1991,1.002
05-01-1991,0.908
06-01-1991,0.884
07-01-1991,0.966
08-01-1991,1.024
09-01-1991,0.987
10-01-1991,0.976
11-01-1991,0.950
12-01-1991,1.012
01-01-1992,0.933
02-01-1992,0.881
03-01-1992,0.850
04-01-1992,0.829
05-01-1992,0.836
06-01-1992,0.801
07-01-1992,0.827
08-01-1992,0.809
09-01-1992,0.873
10-01-1992,0.858
11-01-1992,0.897
12-01-1992,0.928
01-01-1993,0.898
02-01-1993,0.895
03-01-1993,0.927
04-01-1993,0.997
05-01-1993,0.895
06-01-1993,0.921
07-01-1993,0.900
08-01-1993,0.929
09-01-1993,0.890
10-01-1993,0.897
11-01-1993,0.917
12-01-1993,0.871
01-01-1994,0.917
02-01-1994,0.903
03-01-1994,0.926
04-01-1994,0.861
05-01-1994,0.801
06-01-1994,0.841
07-01-1994,0.815
08-01-1994,0.895
09-01-1994,0.855
10-01-1994,0.810
11-01-1994,0.857
12-01-1994,0.873
01-01-1995,0.882
02-01-1995,0.863
03-01-1995,0.875
04-01-1995,0.833
05-01-1995,0.819
06-01-1995,0.825
07-01-1995,0.879
08-01-1995,0.984
09-01-1995,0.956
10-01-1995,0.981
11-01-1995,1.037
12-01-1995,1.160
01-01-1996,1.155
02-01-1996,1.091
03-01-1996,1.138
04-01-1996,1.086
05-01-1996,1.021
06-01-1996,0.945
07-01-1996,1.042
08-01-1996,1.072
09-01-1996,1.150
10-01-1996,1.129
11-01-1996,1.139
12-01-1996,1.308
01-01-1997,1.148
02-01-1997,1.132
03-01-1997,1.056
04-01-1997,1.081
05-01-1997,1.002
06-01-1997,0.952
07-01-1997,0.979
08-01-1997,1.061
09-01-1997,1.009
10-01-1997,1.018
11-01-1997,1.090
12-01-1997,1.172
01-01-1998,1.120
02-01-1998,1.073
03-01-1998,1.043
04-01-1998,1.061
05-01-1998,0.960
06-01-1998,0.932
07-01-1998,0.971
08-01-1998,1.053
09-01-1998,1.022
10-01-1998,1.048
11-01-1998,1.077
12-01-1998,1.089
01-01-1999,1.053
02-01-1999,1.078
03-01-1999,1.005
04-01-1999,0.942
05-01-1999,0.900
06-01-1999,0.949
07-01-1999,0.880
08-01-1999,1.020
09-01-1999,0.956
10-01-1999,0.888
11-01-1999,0.920
12-01-1999,0.920
01-01-2000,0.975
02-01-2000,0.962
03-01-2000,0.931
04-01-2000,0.939
05-01-2000,0.852
06-01-2000,0.838
07-01-2000,0.868
08-01-2000,0.893
09-01-2000,0.920
10-01-2000,0.923
11-01-2000,0.902
12-01-2000,0.959
01-01-2001,1.011
02-01-2001,0.943
03-01-2001,0.886
04-01-2001,1.028
05-01-2001,0.881
06-01-2001,0.920
07-01-2001,0.862
08-01-2001,0.929
09-01-2001,0.916
10-01-2001,0.916
11-01-2001,0.935
12-01-2001,0.925
01-01-2002,0.973
02-01-2002,0.996
03-01-2002,1.003
04-01-2002,1.047
05-01-2002,0.997
06-01-2002,0.975
07-01-2002,0.990
08-01-2002,1.053
09-01-2002,1.055
10-01-2002,1.039
11-01-2002,1.080
12-01-2002,1.176
01-01-2003,1.175
02-01-2003,1.189
03-01-2003,1.209
04-01-2003,1.131
05-01-2003,1.009
06-01-2003,1.199
07-01-2003,1.150
08-01-2003,1.277
09-01-2003,1.257
10-01-2003,1.330
11-01-2003,1.448
12-01-2003,1.559
01-01-2004,1.573
02-01-2004,1.583
03-01-2004,1.625
04-01-2004,1.562
05-01-2004,1.372
06-01-2004,1.311
07-01-2004,1.253
08-01-2004,1.277
09-01-2004,1.145
10-01-2004,1.089
11-01-2004,1.085
12-01-2004,1.199
01-01-2005,1.211
02-01-2005,1.284
03-01-2005,1.132
04-01-2005,1.164
05-01-2005,1.185
06-01-2005,1.139
07-01-2005,1.165
08-01-2005,1.166
09-01-2005,1.279
10-01-2005,1.264
11-01-2005,1.279
12-01-2005,1.350
01-01-2006,1.449
02-01-2006,1.328
03-01-2006,1.302
04-01-2006,1.283
05-01-2006,1.206
06-01-2006,1.242
07-01-2006,1.213
08-01-2006,1.244
09-01-2006,1.254
10-01-2006,1.257
11-01-2006,1.354
12-01-2006,1.543
01-01-2007,1.549
02-01-2007,1.746
03-01-2007,1.634
04-01-2007,1.616
05-01-2007,1.504
06-01-2007,1.373
07-01-2007,1.502
08-01-2007,1.634
09-01-2007,1.825
10-01-2007,1.771
11-01-2007,1.862
12-01-2007,2.099
01-01-2008,2.175
02-01-2008,2.168
03-01-2008,2.203
04-01-2008,2.069
05-01-2008,1.930
06-01-2008,1.920
07-01-2008,2.011
08-01-2008,1.854
09-01-2008,1.978
10-01-2008,1.858
11-01-2008,1.838
12-01-2008,1.834
01-01-2009,1.850
02-01-2009,1.795
03-01-2009,1.693
04-01-2009,1.774
05-01-2009,1.501
06-01-2009,1.529
07-01-2009,1.495
08-01-2009,1.632
09-01-2009,1.627
10-01-2009,1.595
11-01-2009,1.705
12-01-2009,1.772
01-01-2010,1.789
02-01-2010,1.872
03-01-2010,1.822
04-01-2010,1.779
05-01-2010,1.523
06-01-2010,1.494
07-01-2010,1.441
08-01-2010,1.519
09-01-2010,1.753
10-01-2010,1.456
11-01-2010,1.675
12-01-2010,1.793
01-01-2011,1.806
02-01-2011,1.708
03-01-2011,1.732
04-01-2011,1.727
05-01-2011,1.692
06-01-2011,1.683
07-01-2011,1.647
08-01-2011,1.711
09-01-2011,1.947
10-01-2011,1.871
11-01-2011,1.836
12-01-2011,1.874
01-01-2012,1.939
02-01-2012,1.798
03-01-2012,1.774
04-01-2012,1.829
05-01-2012,1.691
06-01-2012,1.670
07-01-2012,1.648
08-01-2012,1.884
09-01-2012,1.889
10-01-2012,1.960
11-01-2012,1.963
12-01-2012,2.007
01-01-2013,1.933
02-01-2013,1.965
03-01-2013,1.925
04-01-2013,1.918
05-01-2013,1.870
06-01-2013,1.859
07-01-2013,1.833
08-01-2013,1.838
09-01-2013,1.897
10-01-2013,1.925
11-01-2013,1.925
12-01-2013,2.026
01-01-2014,2.008
02-01-2014,1.998
03-01-2014,2.061
04-01-2014,2.119
05-01-2014,1.996
06-01-2014,1.948
07-01-2014,1.950
08-01-2014,1.979
09-01-2014,1.970
10-01-2014,1.951
11-01-2014,2.032
12-01-2014,2.210
01-01-2015,2.113
02-01-2015,2.088
03-01-2015,2.133
04-01-2015,2.065
05-01-2015,1.962
06-01-2015,2.570
07-01-2015,2.570
08-01-2015,2.943
09-01-2015,2.966
10-01-2015,2.808
11-01-2015,2.664
12-01-2015,2.751
01-01-2016,2.328
02-01-2016,2.267
03-01-2016,2.081
04-01-2016,1.793
05-01-2016,1.684
06-01-2016,1.491
07-01-2016,1.546
08-01-2016,1.455
09-01-2016,1.471
10-01-2016,1.390
11-01-2016,1.321
12-01-2016,1.383
01-01-2017,1.599
02-01-2017,1.464
03-01-2017,1.404
04-01-2017,1.409
05-01-2017,1.414
06-01-2017,1.332
07-01-2017,1.333
08-01-2017,1.367
09-01-2017,1.422
10-01-2017,1.540
11-01-2017,1.506
12-01-2017,1.815
01-01-2018,1.769
02-01-2018,1.755
03-01-2018,1.831
04-01-2018,2.081
05-01-2018,1.987
06-01-2018,1.628
07-01-2018,1.725
08-01-2018,1.622
09-01-2018,1.651
10-01-2018,1.660
11-01-2018,1.596
12-01-2018,1.595
01-01-2019,1.554
02-01-2019,1.557
03-01-2019,1.544
04-01-2019,1.463
05-01-2019,1.362
06-01-2019,1.203
07-01-2019,1.243
08-01-2019,1.219
09-01-2019,1.383
10-01-2019,1.282
11-01-2019,1.405
12-01-2019,1.535
01-01-2020,1.461
02-01-2020,1.449
03-01-2020,1.525
04-01-2020,2.019
05-01-2020,1.640
06-01-2020,1.554
07-01-2020,1.401
08-01-2020,1.328
09-01-2020,1.353
10-01-2020,1.408
11-01-2020,1.450
12-01-2020,1.481
01-01-2021,1.466
02-01-2021,1.597
03-01-2021,1.625
04-01-2021,1.620
05-01-2021,1.625
06-01-2021,1.642
07-01-2021,1.642
08-01-2021,1.709
09-01-2021,1.835
10-01-2021,1.821
11-01-2021,1.718
12-01-2021,1.788
01-01-2022,1.929
02-01-2022,2.005
03-01-2022,2.046
04-01-2022,2.520
05-01-2022,2.863