Year,Electric79_22
01-01-1979,0.046
02-01-1979,0.047
03-01-1979,0.047
04-01-1979,0.048
05-01-1979,0.049
06-01-1979,0.052
07-01-1979,0.053
08-01-1979,0.053
09-01-1979,0.053
10-01-1979,0.053
11-01-1979,0.051
12-01-1979,0.052
01-01-1980,0.053
02-01-1980,0.055
03-01-1980,0.056
04-01-1980,0.056
05-01-1980,0.058
06-01-1980,0.063
07-01-1980,0.064
08-01-1980,0.064
09-01-1980,0.065
10-01-1980,0.063
11-01-1980,0.061
12-01-1980,0.062
01-01-1981,0.063
02-01-1981,0.064
03-01-1981,0.065
04-01-1981,0.066
05-01-1981,0.067
06-01-1981,0.071
07-01-1981,0.073
08-01-1981,0.075
09-01-1981,0.074
10-01-1981,0.072
11-01-1981,0.071
12-01-1981,0.071
01-01-1982,0.073
02-01-1982,0.073
03-01-1982,0.075
04-01-1982,0.075
05-01-1982,0.075
06-01-1982,0.079
07-01-1982,0.079
08-01-1982,0.079
09-01-1982,0.079
10-01-1982,0.077
11-01-1982,0.074
12-01-1982,0.075
01-01-1983,0.075
02-01-1983,0.075
03-01-1983,0.076
04-01-1983,0.075
05-01-1983,0.077
06-01-1983,0.081
07-01-1983,0.082
08-01-1983,0.082
09-01-1983,0.082
10-01-1983,0.080
11-01-1983,0.077
12-01-1983,0.077
01-01-1984,0.078
02-01-1984,0.079
03-01-1984,0.079
04-01-1984,0.080
05-01-1984,0.081
06-01-1984,0.086
07-01-1984,0.087
08-01-1984,0.089
09-01-1984,0.084
10-01-1984,0.081
11-01-1984,0.079
12-01-1984,0.078
01-01-1985,0.079
02-01-1985,0.079
03-01-1985,0.079
04-01-1985,0.080
05-01-1985,0.080
06-01-1985,0.085
07-01-1985,0.085
08-01-1985,0.085
09-01-1985,
10-01-1985,0.082
11-01-1985,0.080
12-01-1985,0.080
01-01-1986,0.081
02-01-1986,0.075
03-01-1986,0.075
04-01-1986,0.074
05-01-1986,0.074
06-01-1986,0.080
07-01-1986,0.080
08-01-1986,0.080
09-01-1986,0.080
10-01-1986,0.074
11-01-1986,0.073
12-01-1986,0.073
01-01-1987,0.075
02-01-1987,0.076
03-01-1987,0.076
04-01-1987,0.076
05-01-1987,0.076
06-01-1987,0.084
07-01-1987,0.084
08-01-1987,0.085
09-01-1987,0.084
10-01-1987,0.078
11-01-1987,0.077
12-01-1987,0.077
01-01-1988,0.078
02-01-1988,0.078
03-01-1988,0.078
04-01-1988,0.077
05-01-1988,0.077
06-01-1988,0.084
07-01-1988,0.084
08-01-1988,0.084
09-01-1988,0.084
10-01-1988,0.080
11-01-1988,0.078
12-01-1988,0.078
01-01-1989,0.079
02-01-1989,0.079
03-01-1989,0.079
04-01-1989,0.079
05-01-1989,0.080
06-01-1989,0.086
07-01-1989,0.086
08-01-1989,0.086
09-01-1989,0.086
10-01-1989,0.081
11-01-1989,0.080
12-01-1989,0.081
01-01-1990,0.081
02-01-1990,0.081
03-01-1990,0.081
04-01-1990,0.082
05-01-1990,0.082
06-01-1990,0.088
07-01-1990,0.087
08-01-1990,0.087
09-01-1990,0.088
10-01-1990,0.083
11-01-1990,0.082
12-01-1990,0.082
01-01-1991,0.084
02-01-1991,0.084
03-01-1991,0.085
04-01-1991,0.084
05-01-1991,0.085
06-01-1991,0.090
07-01-1991,0.091
08-01-1991,0.090
09-01-1991,0.091
10-01-1991,0.087
11-01-1991,0.084
12-01-1991,0.085
01-01-1992,0.085
02-01-1992,0.084
03-01-1992,0.086
04-01-1992,0.086
05-01-1992,0.087
06-01-1992,0.092
07-01-1992,0.092
08-01-1992,0.091
09-01-1992,0.092
10-01-1992,0.088
11-01-1992,0.086
12-01-1992,0.088
01-01-1993,0.089
02-01-1993,0.087
03-01-1993,0.088
04-01-1993,0.088
05-01-1993,0.090
06-01-1993,0.094
07-01-1993,0.095
08-01-1993,0.097
09-01-1993,0.097
10-01-1993,0.093
11-01-1993,0.091
12-01-1993,0.090
01-01-1994,0.090
02-01-1994,0.090
03-01-1994,0.089
04-01-1994,0.088
05-01-1994,0.090
06-01-1994,0.095
07-01-1994,0.095
08-01-1994,0.096
09-01-1994,0.096
10-01-1994,0.093
11-01-1994,0.091
12-01-1994,0.091
01-01-1995,0.091
02-01-1995,0.091
03-01-1995,0.091
04-01-1995,0.090
05-01-1995,0.092
06-01-1995,0.098
07-01-1995,0.098
08-01-1995,0.098
09-01-1995,0.097
10-01-1995,0.094
11-01-1995,0.092
12-01-1995,0.091
01-01-1996,0.091
02-01-1996,0.091
03-01-1996,0.092
04-01-1996,0.092
05-01-1996,0.092
06-01-1996,0.096
07-01-1996,0.099
08-01-1996,0.099
09-01-1996,0.099
10-01-1996,0.095
11-01-1996,0.092
12-01-1996,0.092
01-01-1997,0.092
02-01-1997,0.092
03-01-1997,0.093
04-01-1997,0.092
05-01-1997,0.093
06-01-1997,0.099
07-01-1997,0.099
08-01-1997,0.098
09-01-1997,0.099
10-01-1997,0.093
11-01-1997,0.092
12-01-1997,0.090
01-01-1998,0.086
02-01-1998,0.085
03-01-1998,0.085
04-01-1998,0.085
05-01-1998,0.086
06-01-1998,0.091
07-01-1998,0.091
08-01-1998,0.090
09-01-1998,0.089
10-01-1998,0.086
11-01-1998,0.084
12-01-1998,0.084
01-01-1999,0.084
02-01-1999,0.084
03-01-1999,0.084
04-01-1999,0.084
05-01-1999,0.085
06-01-1999,0.089
07-01-1999,0.090
08-01-1999,0.089
09-01-1999,0.090
10-01-1999,0.087
11-01-1999,0.085
12-01-1999,0.085
01-01-2000,0.084
02-01-2000,0.085
03-01-2000,0.085
04-01-2000,0.085
05-01-2000,0.085
06-01-2000,0.090
07-01-2000,0.091
08-01-2000,0.091
09-01-2000,0.091
10-01-2000,0.088
11-01-2000,0.086
12-01-2000,0.086
01-01-2001,0.088
02-01-2001,0.088
03-01-2001,0.089
04-01-2001,0.089
05-01-2001,0.090
06-01-2001,0.097
07-01-2001,0.099
08-01-2001,0.098
09-01-2001,0.097
10-01-2001,0.093
11-01-2001,0.090
12-01-2001,0.090
01-01-2002,0.089
02-01-2002,0.089
03-01-2002,0.089
04-01-2002,0.088
05-01-2002,0.089
06-01-2002,0.095
07-01-2002,0.095
08-01-2002,0.095
09-01-2002,0.095
10-01-2002,0.091
11-01-2002,0.089
12-01-2002,0.089
01-01-2003,0.089
02-01-2003,0.089
03-01-2003,0.089
04-01-2003,0.091
05-01-2003,0.092
06-01-2003,0.097
07-01-2003,0.098
08-01-2003,0.098
09-01-2003,0.098
10-01-2003,0.093
11-01-2003,0.090
12-01-2003,0.090
01-01-2004,0.091
02-01-2004,0.091
03-01-2004,0.091
04-01-2004,0.091
05-01-2004,0.093
06-01-2004,0.099
07-01-2004,0.099
08-01-2004,0.100
09-01-2004,0.099
10-01-2004,0.094
11-01-2004,0.092
12-01-2004,0.092
01-01-2005,0.094
02-01-2005,0.094
03-01-2005,0.094
04-01-2005,0.095
05-01-2005,0.097
06-01-2005,0.104
07-01-2005,0.105
08-01-2005,0.105
09-01-2005,0.106
10-01-2005,0.102
11-01-2005,0.102
12-01-2005,0.102
01-01-2006,0.108
02-01-2006,0.108
03-01-2006,0.109
04-01-2006,0.109
05-01-2006,0.110
06-01-2006,0.118
07-01-2006,0.118
08-01-2006,0.118
09-01-2006,0.118
10-01-2006,0.112
11-01-2006,0.110
12-01-2006,0.110
01-01-2007,0.113
02-01-2007,0.113
03-01-2007,0.113
04-01-2007,0.113
05-01-2007,0.115
06-01-2007,0.122
07-01-2007,0.122
08-01-2007,0.121
09-01-2007,0.121
10-01-2007,0.117
11-01-2007,0.115
12-01-2007,0.115
01-01-2008,0.116
02-01-2008,0.116
03-01-2008,0.116
04-01-2008,0.118
05-01-2008,0.120
06-01-2008,0.128
07-01-2008,0.131
08-01-2008,0.132
09-01-2008,0.130
10-01-2008,0.126
11-01-2008,0.123
12-01-2008,0.124
01-01-2009,0.126
02-01-2009,0.126
03-01-2009,0.126
04-01-2009,0.125
05-01-2009,0.126
06-01-2009,0.132
07-01-2009,0.131
08-01-2009,0.130
09-01-2009,0.130
10-01-2009,0.126
11-01-2009,0.124
12-01-2009,0.124
01-01-2010,0.124
02-01-2010,0.123
03-01-2010,0.125
04-01-2010,0.126
05-01-2010,0.127
06-01-2010,0.132
07-01-2010,0.133
08-01-2010,0.133
09-01-2010,0.132
10-01-2010,0.127
11-01-2010,0.125
12-01-2010,0.125
01-01-2011,0.125
02-01-2011,0.125
03-01-2011,0.127
04-01-2011,0.127
05-01-2011,0.129
06-01-2011,0.134
07-01-2011,0.135
08-01-2011,0.135
09-01-2011,0.135
10-01-2011,0.130
11-01-2011,0.128
12-01-2011,0.127
01-01-2012,0.128
02-01-2012,0.128
03-01-2012,0.127
04-01-2012,0.127
05-01-2012,0.129
06-01-2012,0.135
07-01-2012,0.133
08-01-2012,0.133
09-01-2012,0.133
10-01-2012,0.128
11-01-2012,0.127
12-01-2012,0.127
01-01-2013,0.129
02-01-2013,0.129
03-01-2013,0.128
04-01-2013,0.128
05-01-2013,0.131
06-01-2013,0.137
07-01-2013,0.137
08-01-2013,0.137
09-01-2013,0.137
10-01-2013,0.132
11-01-2013,0.130
12-01-2013,0.131
01-01-2014,0.134
02-01-2014,0.134
03-01-2014,0.135
04-01-2014,0.131
05-01-2014,0.136
06-01-2014,0.143
07-01-2014,0.143
08-01-2014,0.143
09-01-2014,0.141
10-01-2014,0.136
11-01-2014,0.134
12-01-2014,0.135
01-01-2015,0.138
02-01-2015,0.138
03-01-2015,0.136
04-01-2015,0.137
05-01-2015,0.137
06-01-2015,0.143
07-01-2015,0.142
08-01-2015,0.142
09-01-2015,0.141
10-01-2015,0.136
11-01-2015,0.134
12-01-2015,0.133
01-01-2016,0.134
02-01-2016,0.134
03-01-2016,0.134
04-01-2016,0.134
05-01-2016,0.133
06-01-2016,0.138
07-01-2016,0.139
08-01-2016,0.139
09-01-2016,0.139
10-01-2016,0.134
11-01-2016,0.131
12-01-2016,0.133
01-01-2017,0.134
02-01-2017,0.135
03-01-2017,0.134
04-01-2017,0.135
05-01-2017,0.137
06-01-2017,0.142
07-01-2017,0.143
08-01-2017,0.142
09-01-2017,0.142
10-01-2017,0.137
11-01-2017,0.136
12-01-2017,0.136
01-01-2018,0.135
02-01-2018,0.135
03-01-2018,0.135
04-01-2018,0.134
05-01-2018,0.136
06-01-2018,0.139
07-01-2018,0.139
08-01-2018,0.139
09-01-2018,0.138
10-01-2018,0.136
11-01-2018,0.134
12-01-2018,0.135
01-01-2019,0.135
02-01-2019,0.136
03-01-2019,0.135
04-01-2019,0.135
05-01-2019,0.136
06-01-2019,0.139
07-01-2019,0.140
08-01-2019,0.139
09-01-2019,0.139
10-01-2019,0.136
11-01-2019,0.133
12-01-2019,0.133
01-01-2020,0.134
02-01-2020,0.134
03-01-2020,0.134
04-01-2020,0.133
05-01-2020,0.134
06-01-2020,0.137
07-01-2020,0.137
08-01-2020,0.137
09-01-2020,0.137
10-01-2020,0.135
11-01-2020,0.136
12-01-2020,0.136
01-01-2021,0.136
02-01-2021,0.137
03-01-2021,0.138
04-01-2021,0.139
05-01-2021,0.140
06-01-2021,0.142
07-01-2021,0.143
08-01-2021,0.144
09-01-2021,0.144
10-01-2021,0.142
11-01-2021,0.142
12-01-2021,0.142
01-01-2022,0.147
02-01-2022,0.148
03-01-2022,0.150
04-01-2022,0.151
05-01-2022,0.154