Year,Flour
01-01-1980,0.203
02-01-1980,0.205
03-01-1980,0.211
04-01-1980,0.206
05-01-1980,0.207
06-01-1980,0.210
07-01-1980,0.214
08-01-1980,0.215
09-01-1980,0.214
10-01-1980,0.212
11-01-1980,0.211
12-01-1980,0.211
01-01-1981,0.217
02-01-1981,0.222
03-01-1981,0.224
04-01-1981,0.225
05-01-1981,0.227
06-01-1981,0.228
07-01-1981,0.228
08-01-1981,0.230
09-01-1981,0.225
10-01-1981,0.226
11-01-1981,0.221
12-01-1981,0.218
01-01-1982,0.224
02-01-1982,0.226
03-01-1982,0.223
04-01-1982,0.220
05-01-1982,0.228
06-01-1982,0.227
07-01-1982,0.232
08-01-1982,0.227
09-01-1982,0.223
10-01-1982,0.221
11-01-1982,0.216
12-01-1982,0.216
01-01-1983,0.217
02-01-1983,0.214
03-01-1983,0.211
04-01-1983,0.213
05-01-1983,0.216
06-01-1983,0.223
07-01-1983,0.223
08-01-1983,0.227
09-01-1983,0.223
10-01-1983,0.219
11-01-1983,0.217
12-01-1983,0.211
01-01-1984,0.213
02-01-1984,0.216
03-01-1984,0.216
04-01-1984,0.215
05-01-1984,0.215
06-01-1984,0.217
07-01-1984,0.219
08-01-1984,0.215
09-01-1984,0.212
10-01-1984,0.211
11-01-1984,0.208
12-01-1984,0.204
01-01-1985,0.212
02-01-1985,0.213
03-01-1985,0.212
04-01-1985,0.211
05-01-1985,0.215
06-01-1985,0.216
07-01-1985,0.216
08-01-1985,0.216
09-01-1985,0.212
10-01-1985,0.211
11-01-1985,0.207
12-01-1985,0.202
01-01-1986,0.207
02-01-1986,0.209
03-01-1986,0.208
04-01-1986,0.206
05-01-1986,0.211
06-01-1986,0.214
07-01-1986,0.214
08-01-1986,0.215
09-01-1986,0.211
10-01-1986,0.208
11-01-1986,0.200
12-01-1986,0.198
01-01-1987,0.202
02-01-1987,0.211
03-01-1987,0.202
04-01-1987,0.202
05-01-1987,0.208
06-01-1987,0.208
07-01-1987,0.213
08-01-1987,0.211
09-01-1987,0.207
10-01-1987,0.203
11-01-1987,0.200
12-01-1987,0.198
01-01-1988,0.202
02-01-1988,0.199
03-01-1988,0.202
04-01-1988,0.199
05-01-1988,0.208
06-01-1988,0.210
07-01-1988,0.215
08-01-1988,0.227
09-01-1988,0.233
10-01-1988,0.231
11-01-1988,0.220
12-01-1988,0.223
01-01-1989,0.228
02-01-1989,0.233
03-01-1989,0.234
04-01-1989,0.238
05-01-1989,0.241
06-01-1989,0.246
07-01-1989,0.254
08-01-1989,0.258
09-01-1989,0.256
10-01-1989,0.255
11-01-1989,0.248
12-01-1989,0.244
01-01-1990,0.253
02-01-1990,0.249
03-01-1990,0.252
04-01-1990,0.251
05-01-1990,0.254
06-01-1990,0.259
07-01-1990,0.260
08-01-1990,0.255
09-01-1990,0.249
10-01-1990,0.244
11-01-1990,0.235
12-01-1990,0.236
01-01-1991,0.244
02-01-1991,0.235
03-01-1991,0.235
04-01-1991,0.237
05-01-1991,0.235
06-01-1991,0.237
07-01-1991,0.239
08-01-1991,0.238
09-01-1991,0.232
10-01-1991,0.230
11-01-1991,0.218
12-01-1991,0.223
01-01-1992,0.241
02-01-1992,0.244
03-01-1992,0.239
04-01-1992,0.238
05-01-1992,0.245
06-01-1992,0.244
07-01-1992,0.252
08-01-1992,0.256
09-01-1992,0.249
10-01-1992,0.241
11-01-1992,0.234
12-01-1992,0.233
01-01-1993,0.242
02-01-1993,0.242
03-01-1993,0.238
04-01-1993,0.230
05-01-1993,0.239
06-01-1993,0.238
07-01-1993,0.237
08-01-1993,0.238
09-01-1993,0.232
10-01-1993,0.228
11-01-1993,0.227
12-01-1993,0.222
01-01-1994,0.233
02-01-1994,0.230
03-01-1994,0.226
04-01-1994,0.226
05-01-1994,0.229
06-01-1994,0.236
07-01-1994,0.236
08-01-1994,0.238
09-01-1994,0.237
10-01-1994,0.232
11-01-1994,0.225
12-01-1994,0.225
01-01-1995,0.238
02-01-1995,0.242
03-01-1995,0.242
04-01-1995,0.236
05-01-1995,0.244
06-01-1995,0.244
07-01-1995,0.248
08-01-1995,0.255
09-01-1995,0.256
10-01-1995,0.254
11-01-1995,0.243
12-01-1995,0.243
01-01-1996,0.262
02-01-1996,0.262
03-01-1996,0.274
04-01-1996,0.266
05-01-1996,0.281
06-01-1996,0.297
07-01-1996,0.308
08-01-1996,0.314
09-01-1996,0.308
10-01-1996,0.293
11-01-1996,0.295
12-01-1996,0.292
01-01-1997,0.309
02-01-1997,0.308
03-01-1997,0.305
04-01-1997,0.304
05-01-1997,0.310
06-01-1997,0.310
07-01-1997,0.309
08-01-1997,0.307
09-01-1997,0.305
10-01-1997,0.294
11-01-1997,0.283
12-01-1997,0.279
01-01-1998,0.299
02-01-1998,0.297
03-01-1998,0.302
04-01-1998,0.298
05-01-1998,0.308
06-01-1998,0.305
07-01-1998,0.307
08-01-1998,0.310
09-01-1998,0.305
10-01-1998,0.301
11-01-1998,0.287
12-01-1998,0.279
01-01-1999,0.297
02-01-1999,0.293
03-01-1999,0.289
04-01-1999,0.283
05-01-1999,0.306
06-01-1999,0.303
07-01-1999,0.308
08-01-1999,0.311
09-01-1999,0.310
10-01-1999,0.288
11-01-1999,0.272
12-01-1999,0.267
01-01-2000,0.286
02-01-2000,0.267
03-01-2000,0.285
04-01-2000,0.283
05-01-2000,0.302
06-01-2000,0.305
07-01-2000,0.305
08-01-2000,0.304
09-01-2000,0.303
10-01-2000,0.306
11-01-2000,0.262
12-01-2000,0.275
01-01-2001,0.304
02-01-2001,0.307
03-01-2001,0.312
04-01-2001,0.276
05-01-2001,0.310
06-01-2001,0.313
07-01-2001,0.315
08-01-2001,0.318
09-01-2001,0.296
10-01-2001,0.309
11-01-2001,0.286
12-01-2001,0.282
01-01-2002,0.319
02-01-2002,0.318
03-01-2002,0.310
04-01-2002,0.307
05-01-2002,0.323
06-01-2002,0.325
07-01-2002,0.320
08-01-2002,0.322
09-01-2002,0.322
10-01-2002,0.289
11-01-2002,0.291
12-01-2002,0.292
01-01-2003,0.316
02-01-2003,0.299
03-01-2003,0.319
04-01-2003,0.318
05-01-2003,0.327
06-01-2003,0.327
07-01-2003,0.328
08-01-2003,0.329
09-01-2003,0.317
10-01-2003,0.288
11-01-2003,0.285
12-01-2003,0.287
01-01-2004,0.307
02-01-2004,0.302
03-01-2004,0.300
04-01-2004,0.283
05-01-2004,0.297
06-01-2004,0.312
07-01-2004,0.324
08-01-2004,0.324
09-01-2004,0.307
10-01-2004,0.299
11-01-2004,0.291
12-01-2004,0.285
01-01-2005,0.325
02-01-2005,0.326
03-01-2005,0.326
04-01-2005,0.322
05-01-2005,0.329
06-01-2005,0.337
07-01-2005,0.340
08-01-2005,0.341
09-01-2005,0.329
10-01-2005,0.311
11-01-2005,0.298
12-01-2005,0.303
01-01-2006,0.328
02-01-2006,0.326
03-01-2006,0.326
04-01-2006,0.320
05-01-2006,0.331
06-01-2006,0.336
07-01-2006,0.339
08-01-2006,0.341
09-01-2006,0.341
10-01-2006,0.321
11-01-2006,0.317
12-01-2006,0.318
01-01-2007,0.346
02-01-2007,0.356
03-01-2007,0.357
04-01-2007,0.354
05-01-2007,0.351
06-01-2007,0.350
07-01-2007,0.353
08-01-2007,0.355
09-01-2007,0.360
10-01-2007,0.355
11-01-2007,0.388
12-01-2007,0.398
01-01-2008,0.421
02-01-2008,0.455
03-01-2008,0.489
04-01-2008,0.518
05-01-2008,0.534
06-01-2008,0.529
07-01-2008,0.544
08-01-2008,0.539
09-01-2008,0.532
10-01-2008,0.521
11-01-2008,0.494
12-01-2008,0.504
01-01-2009,0.517
02-01-2009,0.509
03-01-2009,0.503
04-01-2009,0.485
05-01-2009,0.515
06-01-2009,0.516
07-01-2009,0.519
08-01-2009,0.517
09-01-2009,0.510
10-01-2009,0.500
11-01-2009,0.458
12-01-2009,0.464
01-01-2010,0.491
02-01-2010,0.496
03-01-2010,0.479
04-01-2010,0.473
05-01-2010,0.485
06-01-2010,0.484
07-01-2010,0.484
08-01-2010,0.489
09-01-2010,0.483
10-01-2010,0.472
11-01-2010,0.446
12-01-2010,0.441
01-01-2011,0.477
02-01-2011,0.494
03-01-2011,0.508
04-01-2011,0.500
05-01-2011,0.521
06-01-2011,0.528
07-01-2011,0.533
08-01-2011,0.537
09-01-2011,0.550
10-01-2011,0.542
11-01-2011,0.517
12-01-2011,0.510
01-01-2012,0.528
02-01-2012,0.528
03-01-2012,0.519
04-01-2012,0.515
05-01-2012,0.513
06-01-2012,0.519
07-01-2012,0.516
08-01-2012,0.531
09-01-2012,0.528
10-01-2012,0.509
11-01-2012,0.497
12-01-2012,0.500
01-01-2013,0.524
02-01-2013,0.524
03-01-2013,0.499
04-01-2013,0.522
05-01-2013,0.530
06-01-2013,0.533
07-01-2013,0.530
08-01-2013,0.529
09-01-2013,0.522
10-01-2013,0.516
11-01-2013,0.517
12-01-2013,0.513
01-01-2014,0.543
02-01-2014,0.555
03-01-2014,0.551
04-01-2014,0.547
05-01-2014,0.532
06-01-2014,0.532
07-01-2014,0.527
08-01-2014,0.531
09-01-2014,0.513
10-01-2014,0.501
11-01-2014,0.515
12-01-2014,0.511
01-01-2015,0.545
02-01-2015,0.525
03-01-2015,0.518
04-01-2015,0.509
05-01-2015,0.520
06-01-2015,0.519
07-01-2015,0.515
08-01-2015,0.524
09-01-2015,0.517
10-01-2015,0.511
11-01-2015,0.496
12-01-2015,0.501
01-01-2016,0.522
02-01-2016,0.522
03-01-2016,0.512
04-01-2016,0.521
05-01-2016,0.525
06-01-2016,0.529
07-01-2016,0.543
08-01-2016,0.546
09-01-2016,0.547
10-01-2016,0.523
11-01-2016,0.507
12-01-2016,0.503
01-01-2017,0.530
02-01-2017,0.526
03-01-2017,0.531
04-01-2017,0.516
05-01-2017,0.517
06-01-2017,0.507
07-01-2017,0.512
08-01-2017,0.512
09-01-2017,0.505
10-01-2017,0.500
11-01-2017,0.469
12-01-2017,0.462
01-01-2018,0.471
02-01-2018,0.470
03-01-2018,0.468
04-01-2018,0.472
05-01-2018,0.469
06-01-2018,0.469
07-01-2018,0.468
08-01-2018,0.464
09-01-2018,0.467
10-01-2018,0.453
11-01-2018,0.433
12-01-2018,0.437
01-01-2019,0.439
02-01-2019,0.443
03-01-2019,0.445
04-01-2019,0.434
05-01-2019,0.454
06-01-2019,0.448
07-01-2019,0.454
08-01-2019,0.450
09-01-2019,0.449
10-01-2019,0.432
11-01-2019,0.417
12-01-2019,0.429
01-01-2020,0.438
02-01-2020,0.438
03-01-2020,0.442
04-01-2020,
05-01-2020,0.461
06-01-2020,0.468
07-01-2020,0.461
08-01-2020,0.459
09-01-2020,0.451
10-01-2020,0.452
11-01-2020,0.445
12-01-2020,0.450
01-01-2021,0.446
02-01-2021,0.440
03-01-2021,0.436
04-01-2021,0.437
05-01-2021,0.439
06-01-2021,0.356
07-01-2021,0.368
08-01-2021,0.371
09-01-2021,0.382
10-01-2021,0.396
11-01-2021,0.386
12-01-2021,0.388
01-01-2022,0.424
02-01-2022,0.428
03-01-2022,0.448
04-01-2022,0.455
05-01-2022,0.456