Year,Milk
01-01-1996,2.546
02-01-1996,2.541
03-01-1996,2.539
04-01-1996,2.537
05-01-1996,2.532
06-01-1996,2.599
07-01-1996,2.649
08-01-1996,2.666
09-01-1996,2.666
10-01-1996,2.730
11-01-1996,2.746
12-01-1996,2.727
01-01-1997,2.677
02-01-1997,2.632
03-01-1997,2.632
04-01-1997,2.606
05-01-1997,2.608
06-01-1997,2.587
07-01-1997,2.557
08-01-1997,2.551
09-01-1997,2.533
10-01-1997,2.635
11-01-1997,2.678
12-01-1997,2.672
01-01-1998,2.632
02-01-1998,2.653
03-01-1998,2.658
04-01-1998,2.668
05-01-1998,2.666
06-01-1998,2.622
07-01-1998,2.628
08-01-1998,2.717
09-01-1998,2.757
10-01-1998,2.785
11-01-1998,2.800
12-01-1998,2.859
01-01-1999,2.940
02-01-1999,3.004
03-01-1999,3.003
04-01-1999,2.707
05-01-1999,2.716
06-01-1999,2.704
07-01-1999,2.706
08-01-1999,2.719
09-01-1999,2.794
10-01-1999,2.964
11-01-1999,2.981
12-01-1999,2.875
01-01-2000,2.785
02-01-2000,2.777
03-01-2000,2.748
04-01-2000,2.773
05-01-2000,2.782
06-01-2000,2.763
07-01-2000,2.781
08-01-2000,2.807
09-01-2000,2.809
10-01-2000,2.805
11-01-2000,2.753
12-01-2000,2.785
01-01-2001,2.852
02-01-2001,2.847
03-01-2001,2.760
04-01-2001,2.845
05-01-2001,2.893
06-01-2001,2.911
07-01-2001,2.933
08-01-2001,2.890
09-01-2001,2.941
10-01-2001,2.954
11-01-2001,2.890
12-01-2001,2.895
01-01-2002,2.812
02-01-2002,2.807
03-01-2002,2.816
04-01-2002,2.779
05-01-2002,2.782
06-01-2002,2.768
07-01-2002,2.747
08-01-2002,2.720
09-01-2002,2.728
10-01-2002,2.727
11-01-2002,2.719
12-01-2002,2.682
01-01-2003,2.686
02-01-2003,2.689
03-01-2003,2.656
04-01-2003,2.674
05-01-2003,2.685
06-01-2003,2.676
07-01-2003,2.708
08-01-2003,2.666
09-01-2003,2.904
10-01-2003,2.905
11-01-2003,2.937
12-01-2003,2.947
01-01-2004,2.879
02-01-2004,2.814
03-01-2004,2.786
04-01-2004,2.906
05-01-2004,3.374
06-01-2004,3.574
07-01-2004,3.479
08-01-2004,3.297
09-01-2004,3.149
10-01-2004,3.161
11-01-2004,3.219
12-01-2004,3.233
01-01-2005,3.304
02-01-2005,3.176
03-01-2005,3.226
04-01-2005,3.225
05-01-2005,3.207
06-01-2005,3.122
07-01-2005,3.090
08-01-2005,3.136
09-01-2005,3.133
10-01-2005,3.171
11-01-2005,3.211
12-01-2005,3.241
01-01-2006,3.197
02-01-2006,3.224
03-01-2006,3.161
04-01-2006,3.123
05-01-2006,3.066
06-01-2006,3.001
07-01-2006,3.083
08-01-2006,3.019
09-01-2006,3.049
10-01-2006,3.064
11-01-2006,2.985
12-01-2006,3.004
01-01-2007,3.067
02-01-2007,3.083
03-01-2007,3.072
04-01-2007,3.135
05-01-2007,3.259
06-01-2007,3.427
07-01-2007,3.736
08-01-2007,3.807
09-01-2007,3.841
10-01-2007,3.838
11-01-2007,3.904
12-01-2007,3.870
01-01-2008,3.871
02-01-2008,3.869
03-01-2008,3.781
04-01-2008,3.799
05-01-2008,3.760
06-01-2008,3.773
07-01-2008,3.961
08-01-2008,3.886
09-01-2008,3.773
10-01-2008,3.656
11-01-2008,3.734
12-01-2008,3.681
01-01-2009,3.575
02-01-2009,3.319
03-01-2009,3.116
04-01-2009,3.084
05-01-2009,3.068
06-01-2009,3.009
07-01-2009,2.992
08-01-2009,2.979
09-01-2009,2.981
10-01-2009,3.046
11-01-2009,3.034
12-01-2009,3.105
01-01-2010,3.236
02-01-2010,3.203
03-01-2010,3.188
04-01-2010,3.140
05-01-2010,3.178
06-01-2010,3.297
07-01-2010,3.313
08-01-2010,3.303
09-01-2010,3.278
10-01-2010,3.321
11-01-2010,3.327
12-01-2010,3.318
01-01-2011,3.301
02-01-2011,3.357
03-01-2011,3.503
04-01-2011,3.597
05-01-2011,3.653
06-01-2011,3.622
07-01-2011,3.654
08-01-2011,3.713
09-01-2011,3.715
10-01-2011,3.622
11-01-2011,3.557
12-01-2011,3.565
01-01-2012,3.583
02-01-2012,3.520
03-01-2012,3.499
04-01-2012,3.474
05-01-2012,3.427
06-01-2012,3.396
07-01-2012,3.428
08-01-2012,3.474
09-01-2012,3.469
10-01-2012,3.524
11-01-2012,3.536
12-01-2012,3.580
01-01-2013,3.526
02-01-2013,3.480
03-01-2013,3.431
04-01-2013,3.428
05-01-2013,3.441
06-01-2013,3.458
07-01-2013,3.449
08-01-2013,3.448
09-01-2013,3.428
10-01-2013,3.462
11-01-2013,3.491
12-01-2013,3.501
01-01-2014,3.552
02-01-2014,3.561
03-01-2014,3.669
04-01-2014,3.687
05-01-2014,3.735
06-01-2014,3.626
07-01-2014,3.645
08-01-2014,3.673
09-01-2014,3.732
10-01-2014,3.766
11-01-2014,3.858
12-01-2014,3.820
01-01-2015,3.758
02-01-2015,3.496
03-01-2015,3.463
04-01-2015,3.397
05-01-2015,3.387
06-01-2015,3.366
07-01-2015,3.430
08-01-2015,3.389
09-01-2015,3.392
10-01-2015,3.338
11-01-2015,3.299
12-01-2015,3.310
01-01-2016,3.313
02-01-2016,3.230
03-01-2016,3.187
04-01-2016,3.155
05-01-2016,3.157
06-01-2016,3.115
07-01-2016,3.062
08-01-2016,3.141
09-01-2016,3.229
10-01-2016,3.292
11-01-2016,3.280
12-01-2016,3.290
01-01-2017,3.318
02-01-2017,3.300
03-01-2017,3.315
04-01-2017,3.259
05-01-2017,3.242
06-01-2017,3.213
07-01-2017,3.219
08-01-2017,3.168
09-01-2017,3.209
10-01-2017,3.158
11-01-2017,3.150
12-01-2017,3.155
01-01-2018,2.961
02-01-2018,2.923
03-01-2018,2.903
04-01-2018,2.924
05-01-2018,2.919
06-01-2018,2.877
07-01-2018,2.839
08-01-2018,2.871
09-01-2018,2.890
10-01-2018,2.913
11-01-2018,2.877
12-01-2018,2.853
01-01-2019,2.913
02-01-2019,2.900
03-01-2019,2.944
04-01-2019,2.980
05-01-2019,2.963
06-01-2019,3.054
07-01-2019,3.031
08-01-2019,3.045
09-01-2019,3.102
10-01-2019,3.119
11-01-2019,3.189
12-01-2019,3.188
01-01-2020,3.253
02-01-2020,3.196
03-01-2020,3.248
04-01-2020,3.267
05-01-2020,3.210
06-01-2020,3.198
07-01-2020,3.255
08-01-2020,3.406
09-01-2020,3.448
10-01-2020,3.380
11-01-2020,3.425
12-01-2020,3.535
01-01-2021,3.468
02-01-2021,3.368
03-01-2021,3.348
04-01-2021,3.447
05-01-2021,3.497
06-01-2021,3.557
07-01-2021,3.627
08-01-2021,3.560
09-01-2021,3.585
10-01-2021,3.663
11-01-2021,3.671
12-01-2021,3.743
01-01-2022,3.787
02-01-2022,3.875
03-01-2022,3.917
04-01-2022,4.012
05-01-2022,4.204